characters,fa_length,fa_list
K00390,21,"['T00398', 'T00447', 'T00701', 'T00925', 'T01461', 'T02133', 'T02545', 'T03770', 'T03970', 'T04453', 'T04481', 'T04721', 'T05201', 'T05738', 'T06085', 'T06252', 'T06554', 'T06794', 'T07267', 'T07354', 'T08069']"
K01637,14,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T03770', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06554', 'T06794', 'T07354']"
K00568,8,"['T00398', 'T00925', 'T03770', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554']"
K03644,23,"['T00122', 'T00398', 'T00447', 'T00701', 'T00925', 'T01485', 'T02133', 'T02545', 'T03770', 'T03970', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06523', 'T06554', 'T06794', 'T07267', 'T07354', 'T07941']"
K09001,11,"['T00398', 'T00925', 'T03770', 'T04182', 'T04222', 'T04481', 'T04721', 'T05738', 'T06085', 'T06523', 'T06554']"
K07166,18,"['T00964', 'T00984', 'T01461', 'T01842', 'T02505', 'T03496', 'T04115', 'T04182', 'T04222', 'T04453', 'T05095', 'T05143', 'T06719', 'T07267', 'T07354', 'T07943', 'T08069', 'T08666']"
K00990,15,"['T00398', 'T00925', 'T01842', 'T02505', 'T02545', 'T03496', 'T03770', 'T04222', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554', 'T06794', 'T07267']"
K00163,16,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T03770', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354']"
K06929,8,"['T00447', 'T00925', 'T02545', 'T04481', 'T04721', 'T05201', 'T05843', 'T06085']"
K00457,9,"['T00398', 'T00925', 'T02545', 'T03770', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554']"
K06193,9,"['T00398', 'T03770', 'T04021', 'T04481', 'T05201', 'T06085', 'T06523', 'T06554', 'T06584']"
K02116,14,"['T00398', 'T00701', 'T00925', 'T02545', 'T03770', 'T03970', 'T04481', 'T04721', 'T05738', 'T06085', 'T06252', 'T06554', 'T06584', 'T08201']"
K01029,15,"['T00398', 'T00447', 'T00701', 'T00925', 'T03970', 'T04481', 'T04721', 'T05201', 'T05738', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354', 'T08780']"
K14162,15,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354']"
K03752,19,"['T00398', 'T00577', 'T00925', 'T03770', 'T03970', 'T04021', 'T04453', 'T04481', 'T04721', 'T05143', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06584', 'T06794', 'T07267', 'T08201']"
K01595,22,"['T00398', 'T00447', 'T00925', 'T00984', 'T01842', 'T01954', 'T02505', 'T02545', 'T03496', 'T03770', 'T04115', 'T04222', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T06085', 'T06554', 'T06794', 'T07354', 'T08780']"
K08973,9,"['T00398', 'T00577', 'T00925', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554', 'T08780']"
K03117,20,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T02545', 'T03770', 'T04021', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354', 'T08201', 'T08780']"
K07139,14,"['T00122', 'T00964', 'T01461', 'T02133', 'T03970', 'T05095', 'T06252', 'T06523', 'T06584', 'T06719', 'T07941', 'T07943', 'T08069', 'T08666']"
K00363,9,"['T00398', 'T00447', 'T00925', 'T03770', 'T04721', 'T05201', 'T05738', 'T06554', 'T06794']"
K09773,16,"['T00398', 'T00447', 'T00925', 'T00964', 'T00984', 'T01954', 'T03770', 'T03970', 'T04115', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T06252', 'T06554']"
K04041,15,"['T00122', 'T00964', 'T00984', 'T01485', 'T03970', 'T04182', 'T05095', 'T05143', 'T06252', 'T06523', 'T06584', 'T06719', 'T07941', 'T08069', 'T08666']"
K01640,13,"['T00398', 'T00447', 'T00925', 'T02545', 'T03770', 'T04182', 'T04453', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554', 'T06794']"
K00940,27,"['T00122', 'T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T00984', 'T01461', 'T02545', 'T03770', 'T03970', 'T04021', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06794', 'T07267', 'T07354', 'T07941', 'T08201', 'T08780']"
K03613,17,"['T00122', 'T00964', 'T00984', 'T01461', 'T01485', 'T02133', 'T03770', 'T04182', 'T04453', 'T05095', 'T06523', 'T06584', 'T06719', 'T07941', 'T08069', 'T08201', 'T08666']"
K02303,13,"['T00398', 'T00447', 'T00925', 'T03770', 'T03970', 'T04481', 'T04721', 'T05201', 'T05738', 'T06085', 'T06252', 'T06554', 'T07267']"
K00241,25,"['T00122', 'T00398', 'T00447', 'T00701', 'T00925', 'T01485', 'T02133', 'T02545', 'T03770', 'T03970', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06523', 'T06554', 'T06719', 'T06794', 'T07267', 'T07354', 'T07941', 'T08201']"
K02415,10,"['T00398', 'T00925', 'T01461', 'T03770', 'T04721', 'T05738', 'T06085', 'T06554', 'T08201', 'T08780']"
K04755,10,"['T00398', 'T00701', 'T00925', 'T03770', 'T04481', 'T04721', 'T05738', 'T06085', 'T06554', 'T06719']"
K00275,14,"['T00122', 'T00398', 'T00925', 'T01485', 'T02545', 'T03770', 'T04481', 'T04721', 'T05738', 'T06085', 'T06523', 'T06554', 'T06794', 'T07941']"
K07516,6,"['T00398', 'T00925', 'T04481', 'T04721', 'T05738', 'T06085']"
K00019,14,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T03970', 'T04481', 'T04721', 'T05201', 'T05738', 'T06085', 'T06554', 'T06794', 'T08780']"
